other_title,chosen_title,own_title,rate_creative,rate_unique,rate_novel,rate_accurate,rate_practical,rate_similar,gender,age,attention,ID,final_score,is_distracted,feedback,user_batch,bank_position,similarity,sim_type,isSlider,use_table,show_score
"['Sputnik Fractal', 'Cosmic Convergence: Sputnik Fractal', 'Sputnik Fractal: Celestial Collision', 'Celestial Collision: Sputnik Fractal', 'painting_title', 'Whispers in the Bay', 'Echoes of the Estuary: Whispers in the Bay', 'Tranquil Tide: Murmurs of the Marshes', 'Ripples of Calm: Symphony in the Thickets', 'Regal Awakenings: Sonata by the Spreading Adelaide Branches', 'Regal Reverie: Overture of the Spreading Adelaide Branches', 'Twilight Symphony: A Daydream Beneath Adelaide', ""Ascendancy at Dusk: Adelaide's Melodic Hues"", 'Ascending Serenade: Symphony of Dusk', 'Fanfare of Twilight Gleam', 'Fanfare of Twilight Gleam', ""Twilight's Crescendo: A Fanfare of Gleaming Hues""]",Twilight's Crescendo: A Symphony of Luminous Colors,,5,6,6,2,2,3,Male,27,Gold,5e9595109db1250009897586,14,False,,COM6LC8F,corner,"[0.27, 0.27, 0.59, 0.79, 0.79, 0.79, 0.79, 1, 1, 1, 1, 1, 1, 1, 0.19, 0.19, 0.1]",variant,True,False,False
[],Sputnik Fractal,,6,6,6,7,6,6,Male,27,Gold,66a18e8231c042974d7bd880,48,False,,COM6LC8F,corner,[],variant,True,False,False
"['Sputnik Fractal', 'Cosmic Echoes: The Sputnik Fractal', 'Sputnik Symphony: Celestial Harmonies']",Cosmic Symphony: A Celestial Overture,,6,2,2,5,6,5,Male,21,Gold,66a215c81ceb71c1fd672e8b,42,False,,COM6LC8F,corner,"[0.14, 0.14, 0.2]",variant,True,False,False
"['Sputnik Fractal', 'Celestial Iterations: A Sputnik Fractal', 'Celestial Fractal Unveiling: Journey of Sputnik', ""Sputnik's Celestial Symmetry"", ""Sputnik's Celestial Hymn"", 'Choir of Celestial Sputniks', 'Galactic Serenade - A Tribute to the Choir of Celestial Sputniks', 'Celestial Canticle Given Strings']",Midnight Symphony of the Spiritual Spheres,,5,6,5,7,5,5,Female,34,Gold,665d9157c142b7bc6842cb88,32,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.4, 0.8, 0.8, 0.99, 0.99]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Fractals: Sputnik Symphony', 'Sputnik Symphony: Cosmic Fractals', 'Sputnik Symphony: The Fractal Cosmos', 'Ethereal Harmony: A Sputnik Symphony in the Fractal Cosmos', 'The Embodied Echoes: Depth of Infinity', 'Infinite Resonance: Depths of the Soul', 'Eternal Echoes: A Journey Within', ""Eternal Resonance: A Soul's Odyssey"", 'Eternal Harmony: A Symphonic Journey', 'Ethereal Elegance: A Harmonious Overture', 'Serenity in Symphonic Grace']",Harmonious Tranquility: A Symphony of Serenity,,3,3,2,3,3,3,Female,46,Gold,61085a35dbe6df45e798248f,24,False,I wanted to name the painting myself and not use the ideas generated - they didnt sound real or artistic.  I didnt really like any of them they were not abstract or human enough.,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Sputnik Fractal Symphony', 'Celestial Echoes: A Sputnik Fractal Symphony', 'Celestial Harmonies: An Astral Alchemy Union', 'Planetarium Serenades: A Galactic Fusion Evocation', 'Celestial Harmonies: A Cosmic Overture', 'Ethereal Crescendo: Journey of Cosmic Harmony', 'Celestial Symphony: Inner Cosmic Prism', 'Ethereal Harmony: Celestial Reflections', 'Celestial Reflections: A Serene Existence', 'Ethereal States: Celestial Contemplations', 'Cosmic Reverie: Enterprising the Infinite', 'Dirigating the Galaxyâ€™s Abstractions: Ether Convergence Through Cosmic Reverie', 'Cosmic Reverie: Ether Fusion in Galactic Abstractions', 'Galactic Verse: Serenity within Astral Convergence', 'Cosmic Tranquility amidst Celestial Union']",Harmony of the Cosmos,,6,5,5,4,5,6,Female,27,Gold,654d0a22b5bc3aa1d9677c01,16,False,"Everything worked as expected, thank you.",COM6LC8F,corner,"[0.02, 0.59, 0.7, 0.7, 0.48, 0.48, 0.48, 0.38, 0.38, 0.38, 0.2, 0.81, 0.59, 0.59, 0.59, 0.29]",variant,True,False,False
"['Sputnik Fractal', 'Sputnik Fractal Symphony', 'Sputnik Fractal Symphony: Galaxies in Harmony', 'Cosmic Harmonies: Sputnik Fractal Symphony', 'Sputnik Fractal Symphony', 'Sputnik Fractal Symphony: Cosmic Rhythms', ""Sputnik's Cosmic Harmony"", ""Sputnik's Celestial Symphony""]",Sputnik's Celestial Symphony: Harmonies of the Cosmos,,6,5,6,3,3,6,Male,30,Gold,62d133c506e7167dd2b29652,32,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Echoes: Sputnik Fractal', 'Sputnik Fractal: Cosmic Echoes', 'Sputnik Fractal: Cosmic Echoes in Space', 'Sputnik Cosmic Reverberations']",Sputnik's Radiant Symphony,,5,5,5,4,4,4,Male,23,Gold,66a12b8bd06999b94cf31120,38,True,,COM6LC8F,corner,"[0.02, 0.02, 0.19, 0.38, 0.59]",variant,True,False,False
"['Sputnik Fractal', 'Sputnik Fractal Symphony', 'Cosmic Harmony: A Sputnik Fractal Symphony', 'Celestial Elegance: A Sputnik Fractal Symphony', 'Celestial Elegance: A Sputnik Fractal Symphony', 'Galactic Serenity: Sputnik Embrace', 'Guided by Universeshythms', 'Exploring the Energy of Universeshythms', 'Energetic Universal Rhythms']",Pulse of the Cosmos,Lunar Laceration,5,4,5,2,2,5,Male,52,Gold,6655e364ffff4d877ac0d432,30,False,fun!,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.6, 1, 1, 1, 1]",variant,True,False,False
"['Sputnik Fractal', 'Celestial Fractal Discovery', 'Celestial Fractal Revelation', 'Cosmic Insight: A Celestial Fractal Revelation', 'Cosmic Mandala: A Nebula-scape Visualization', 'A Celestial Array: Galactic Formations Revealed']",Ethereal Symphony: Stellar Display,,6,6,5,6,4,5,Female,27,Gold,6449009f6ecd1d4b69a188f4,36,False,,COM6LC8F,corner,"[0.02, 0.2, 0.54, 0.91, 0.91, 0.33]",variant,True,False,False
